Date,Time,Consumption,Wind,Solar
2006-09-30,00:34:01.310990,1173.1679999999997,,
2006-10-01,01:34:01.310990,1058.268,,
2006-10-02,02:34:01.310990,1286.932,,
2006-10-03,03:34:01.310990,1116.572,,
2006-10-04,04:34:01.310990,1375.6360000000004,,
2006-10-05,05:34:01.310990,1397.4590000000003,,
2006-10-06,06:34:01.310990,1428.592,,
2006-10-07,07:34:01.310990,1227.91,,
2006-10-08,08:34:01.310990,1097.087,,
2006-10-09,09:34:01.310990,1406.128,,
2006-10-10,10:34:01.310990,1433.5879999999995,,
2006-10-11,11:34:01.310990,1429.996,,
2006-10-12,12:34:01.310990,1432.5120000000006,,
2006-10-13,13:34:01.310990,1426.507,,
2006-10-14,14:34:01.310990,1203.5259999999998,,
2006-10-15,15:34:01.310990,1089.6849999999995,,
2006-10-16,16:34:01.310990,1415.4740000000002,,
2006-10-17,17:34:01.310990,1445.8819999999998,,
2006-10-18,18:34:01.310990,1448.5110000000002,,
2006-10-19,19:34:01.310990,1451.6470000000004,,
2006-10-20,20:34:01.310990,1434.6660000000002,,
2006-10-21,21:34:01.310990,1232.3390000000002,,
2006-10-22,22:34:01.310990,1116.473,,
2006-10-23,23:34:01.310990,1461.803,,
2006-10-24,00:34:01.310990,1504.192,,
2006-10-25,01:34:01.310990,1468.365,,
2006-10-26,02:34:01.310990,1482.7469999999998,,
2006-10-27,03:34:01.310990,1476.272,,
2006-10-28,04:34:01.310990,1242.024,,
2006-10-29,05:34:01.310990,1173.7609999999995,,
2006-10-30,06:34:01.310990,1413.0659999999998,,
2006-10-31,07:34:01.310990,1460.3989999999997,,
2006-11-01,08:34:01.310990,1352.658,,
2006-11-02,09:34:01.310990,1479.071,,
2006-11-03,10:34:01.310990,1479.8999999999994,,
2006-11-04,11:34:01.310990,1297.9589999999998,,
2006-11-05,12:34:01.310990,1242.064,,
2006-11-06,13:34:01.310990,1521.545,,
2006-11-07,14:34:01.310990,1506.669,,
2006-11-08,15:34:01.310990,1518.3640000000005,,
2006-11-09,16:34:01.310990,1557.4110000000005,,
2006-11-10,17:34:01.310990,1484.2599999999998,,
2006-11-11,18:34:01.310990,1327.6640000000002,,
2006-11-12,19:34:01.310990,1226.6420000000005,,
2006-11-13,20:34:01.310990,1533.554,,
2006-11-14,21:34:01.310990,1523.361,,
2006-11-15,22:34:01.310990,1504.301,,
2006-11-16,23:34:01.310990,1490.7790000000005,,
